row,set,market_id,title,market_slug,event_slug,event_title,oscar_label,oscar_borderline,oscar_note
20,c,0x6b01d811f8511e4939e04264994e277c3a8269c56d6f50ec6875026f7008a453,"Bitcoin above 62,400 on June 25, 10AM ET?",,,,,,
21,c,0x77d1fbf7408b11dba8225c12cd398d30ffbfc0f4c4100c2b4c06aed19a98c9cc,"Bitcoin Up or Down - July 29, 1:40PM-1:45PM ET",,,,,,
22,c,0x1a635e6a12d9ebd97c00afe58e6fa054ecb3bf51018a091ea72b0e1525ea0018,Pacers vs. Pistons: 1H O/U 112.5,,,,,,
23,c,0x20e9e0d6c8fbd9cdf7dd8e1126786d104606eee4fd9119a7be588a8c99ae7b98,"Ethereum Up or Down - June 7, 6:25AM-6:30AM ET",,,,,,
24,c,0xb70373355700feb99fa0c5b87b3b54feeebd6a05419817fe6ab0b1005f3a5ce7,"Bitcoin Up or Down - July 28, 10:00AM-10:15AM ET",,,,,,
25,c,0x573f8323451a4d2412644912d5c0ff26cf7df8921d094852f3ef8d4fd734b8d4,"Ethereum Up or Down - October 7, 12AM ET",,,,,,
26,c,0x57d07a98ac8bd3fbd08ca21c656ab04150197564f0fc6d964d2eaa66cf8158bd,"Bitcoin Up or Down - February 14, 8:20PM-8:25PM ET",,,,,,
27,c,0xe6620da713e756b9508d93161c6c5764a3f3f145e5946b03054be0d7964b8a3f,"Will Bitcoin dip to $66,000 March 9-15?",,,,,,
28,c,0xdc69ef21d7830e9931d78d36d2da0c452a53d8033d70fdfd805d5c9d33bb27a3,"Ethereum Up or Down - October 11, 6:15AM-6:30AM ET",,,,,,
29,c,0x0c7af1f617cdee4bf21d6ee192d2df0226c92e0efcea213dadfef34acf437ba1,"Will S&P Global say ""Rating"" during earnings call?",,,,,,
30,c,0xb2ded68202dbbb4b9399557425960858873a9355fbcb01f79ffe4afb5a952ca0,"XRP Up or Down - June 12, 6:45AM-6:50AM ET",,,,,,
31,c,0x5bb866b0d3196f1267ea904ccf8f2f09be105ad664d51f04fb50c255bc89c5db,"Bitcoin Up or Down - May 19, 12:30AM-12:35AM ET",,,,,,
32,c,0x5543c6cf6302efdaeba476e9a4cf5f26e30f742d0a07b1eb6397e4fa872d2ea7,"Bitcoin Up or Down - July 1, 11:00AM-11:05AM ET",,,,,,
33,b,0x4fa826d26911c39177ca27a5b9fb68e9ee53d5db0c9177322d40732ca65ba335,Will Carnell Tate be drafted 7th overall in the 2026 pro football draft?,,,,,,
34,b,0xe003f1ae3f8ce931074c5125d1ed2569e297f1edeb6a5887587c1b5df25aad9e,Will Tesla reach $450 in February?,will-tsla-reach-450-in-february,what-price-will-tsla-hit-in-february-2026,What will Tesla (TSLA) hit in February 2026?,,,
35,b,0x5d682c0b079bb8d5d363b7066e3db34920690b9ad88b8d9d95e4aac7ae300bdc,Will the next reconciliation bill be passed between August 25 and August 31?,,,,,,
36,b,0xe9167da2edfb03f4f8ddca1ec55146e05e927abc308c3c462f88e33517a04594,Angels vs. Phillies,,,,,,
37,b,0xe8d74167243186a6e9b9a82633b73627d1976ce12664d609469d7a4bdae307f9,La Salle Explorers vs. Fordham Rams,cbb-lasal-fordm-2026-01-28,cbb-lasal-fordm-2026-01-28,La Salle Explorers vs. Fordham Rams,,,
38,b,0xc01984f83a5fe4dcfddd3ff21bc3aced829bb8cc9931e87009d3cc175975288b,Dream vs Lynx,,,,,,
39,b,0x112e3be1aeaa281c219658efc47d2140943fcc5217a021ca66bb3b01820211d9,Athletics vs. Pirates,,,,,,
40,b,0x883bbe4f7c930f80bb8249f683a6300653901c0c9a2c1bcfed23ae51f7940643,Northern Illinois Huskies vs. Bradley Braves,,,,,,
41,b,0x84a5b363ed94f4b65bdd94725a79051b67f2697e4a28f6b5123c6b42d1d0878b,Northern Kentucky Norse vs. Butler Bulldogs (W),,,,,,
42,b,0xc55bae557cda2d888621920926cd33bf5de604fd8e7cd3c3a013fd6ad662af2a,Will the price of Solana be between $160 and $170 on January 1?,will-the-price-of-solana-be-between-160-170-on-january-1,solana-price-on-january-1,Solana price on January 1?,,,
43,b,0xf69d0bf4e182ac1e4085fa8136d26dcc24c7b7815eb92fda7611f9176ccb64fb,Jeremiah Fears: Assists Over 3.5,,,,,,
44,b,0x1e247fca20f3bdd3f9107f0278d95731e3416b94747c3f78c60ba87e42848373,Austin: Lucrezia Stefanini vs Sinja Kraus,,,,,,
45,b,0x7df920df129c0865fbc5a90911d73ead36b0ff0d82c16a99d6c96c7ec1c06a1a,Map 2: Odd/Even Total Kills?,cs2-sin2-yn-2026-04-22-game2-odd-even-total-kills,cs2-sin2-yn-2026-04-22,Counter-Strike: Sinners vs Young Ninjas (BO3) - Conquest of Prague Online Stage Group Stage,,,
46,b,0xf380483f16bf43029a8bee76ea573f3ca8105285f03ca1f863e86c63e40ebfba,"Will Elon Musk post 240-259 tweets from July 3 to July 10, 2026?",elon-musk-of-tweets-july-3-july-10-240-259,elon-musk-of-tweets-july-3-july-10,"Elon Musk # tweets July 3 - July 10, 2026?",,,
47,b,0xe9f3b8c276c31b82fafc0664892ec1418973a8a2b42804bd9533571288cff543,Bears vs. Titans,,,,,,
48,b,0xbabf107e34f8bd44d451d93dceafba6e9f58e4a00af6c2e29b8a06d1d8695c56,"Will Ted Cruz post 120-139 posts from April 17 to April 24, 2026?",,,,,,
49,b,0x29d3d4483b4894d06be2d4ff3b24b61d3ce57aacf1ae274f3449fe3f4bc7c20b,"Will the price of Bitcoin be between $96,000 and $98,000 on December 20?",will-the-price-of-bitcoin-be-between-96000-98000-on-december-20,bitcoin-price-on-december-20,Bitcoin price on December 20?,,,
50,b,0x72193c30f82f9509658fc32af072e53a0666ad046635c3cbc09c56b8fa191574,Will Temu: Shop Like a Billionaire be #2 Free App in the US Apple App Store on May 22?,will-temu-shop-like-a-billionaire-be-2-free-app-in-the-us-apple-app-store-on-may-22,2-free-app-in-the-us-apple-app-store-on-may-22,#2 Free App in the US Apple App Store on May 22?,,,
