timeout
30000
trader_address,market_id,market_title,category,resolution_date,winning_outcome,volume_usd,realized_pnl_usd,first_trade_ever,days_before_resolution,elo,research_excluded,bot_type,categories_traded,total_trades_all_categories
0xdcdfa7328806495a11bc9eddcb0684e429452cd1,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,1051264.52,720831.93,"2025-11-04 21:52:25.869255",27.6,2021.2,0,none,1,19
0x03506c1ffae88367d1be68b4839c1fc5c458b765,0x7b50deb091ddc557892d6f6c47bd99b75c82ec1ac0cc3777a626aed49780ca21,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:16:40.803755",No,2656257.99,709040.98,"2025-10-31 09:33:01.475704",20.5,2373.3,0,none,2,337
0x3e5076e1aee581d019273975d4d5e2688088116e,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,2656257.99,709040.98,"2025-10-31 09:15:36.027504",20.5,2767.2,0,none,2,267
0xccb06f2a11d63cece88119b2ba0f9ae942f7faed,0x65412a88d22bfc268d3b35c94ba369a2fb443b79fa95545d5605e566cd76dc8d,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:09:51.455850",No,2656257.99,709040.98,"2025-10-31 09:26:12.127799",20.5,2370.8,0,none,2,337
0x7b4dbe4bd6f09d6ea9658b04c376bbbbcf85cc7f,0x7b50deb091ddc557892d6f6c47bd99b75c82ec1ac0cc3777a626aed49780ca21,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:16:40.803755",No,479222.92,606850.3,"2025-10-30 07:22:37.084941",21.6,3316.2,0,none,1,220
0x93f8e6567108eef6e180e0586bccc65da211bcf5,0x65412a88d22bfc268d3b35c94ba369a2fb443b79fa95545d5605e566cd76dc8d,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:09:51.455850",No,479222.92,606850.3,"2025-10-30 07:15:47.737036",21.6,3314.9,0,none,1,220
0xde4516150e4a59e32b729cb8f7ecbf6b9db0cbf2,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,479222.92,606850.3,"2025-10-30 07:05:11.636741",21.6,3316.7,0,none,1,220
0x4c4d9e6e86cc9f1a5077cef1fd7d9f8d513e7f6d,0x65412a88d22bfc268d3b35c94ba369a2fb443b79fa95545d5605e566cd76dc8d,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:09:51.455850",No,507091.11,606166.69,"2025-10-29 21:08:35.190778",22.0,3314.1,0,none,1,219
0x565ec8bfda5782c499d8d56890d56a166a5ab831,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,507091.11,606166.69,"2025-10-29 20:57:59.090483",22.0,3316.0,0,none,1,219
0x97c79131b1fc4e5b7f2903f3285b690cc2cce5c7,0x7b50deb091ddc557892d6f6c47bd99b75c82ec1ac0cc3777a626aed49780ca21,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:16:40.803755",No,507091.11,606166.69,"2025-10-29 21:15:24.538683",22.0,3315.5,0,none,1,219
0x02a692225470ee352194d4b33c39386a88682b05,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,2779579.1,604096.94,"2025-10-30 23:22:52.231788",20.9,2366.6,0,none,1,260
0x05689ef2be3a64db12641b2f9ed053ad2723ac6b,0x7b50deb091ddc557892d6f6c47bd99b75c82ec1ac0cc3777a626aed49780ca21,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:16:40.803755",No,2779579.1,604096.94,"2025-10-30 23:40:17.679988",20.9,2365.3,0,none,1,260
0x1dbea010a857aefdd08a0389654d7e2295e6b740,0x65412a88d22bfc268d3b35c94ba369a2fb443b79fa95545d5605e566cd76dc8d,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:09:51.455850",No,2779579.1,604096.94,"2025-10-30 23:33:28.332083",20.9,2361.7,0,none,1,260
0xaba3d4bd77f9599b4a40b0e1a95e3d48008f36de,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,679745.58,449692.38,"2025-11-05 03:09:52.963696",27.4,3000.6,0,none,1,17
0x11a6dcc2256f4513fef518f68d9a0e2cc45904e4,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,755081.25,407622.46,"2025-11-04 19:25:38.169870",27.7,2468.8,0,none,1,19
0x198178d806cfd6fd91dfe2c4a2c212705662c4ae,0x65412a88d22bfc268d3b35c94ba369a2fb443b79fa95545d5605e566cd76dc8d,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:09:51.455850",No,414084.3,386269.11,"2025-10-30 07:41:45.272103",21.6,3302.9,0,none,2,264
0xaefd64f0272b3653748842739a55d6cb49f70fe0,0x0ff2f1a5e7b2584717605240f314d901aedf7d6c6b1b2a0dcfeb9f3a3348c4f4,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 21:59:15.355555",No,414084.3,386269.11,"2025-10-30 07:31:09.171808",21.6,3307.8,0,none,2,200
0xdf80e7bce83ba5638ce1940e02b51f1bf4b4e180,0x7b50deb091ddc557892d6f6c47bd99b75c82ec1ac0cc3777a626aed49780ca21,"Will Haley drop out of 2027 race before January?",Elections,"2025-11-20 22:16:40.803755",No,414084.3,386269.11,"2025-10-30 07:48:34.620008",21.6,3303.7,0,none,2,264
0xb5de6a2c1d9d485ddcf9063af23c1fd3fd621ef2,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,506178.86,276691.01,"2025-11-06 08:52:44.291304",26.2,3000.1,0,none,1,11
0x36d2657fd3fa26b7b00683ebaff37ca9b281a631,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,133791.12,203867.93,"2025-11-05 08:43:52.159496",27.2,3001.2,0,none,1,11
0xfa7578e99ef65b1a76eb9f9f868d78a5511e1cb4,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,714684.1,203018.28,"2025-11-09 11:02:33.260103",23.1,2168.9,0,none,1,17
0x7c123a982411578c0b80f9b7eae4c7a5ca88015f,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,96940.72,184584.26,"2025-11-09 11:32:37.818239",23.1,2701.2,1,THIN_SAMPLE_ARTIFACT,1,9
0x46e879e7aa9e3a22a930d9f4a5d8ea70cdd7bd4f,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,137275.03,181877.73,"2025-11-05 16:06:39.515439",26.9,3001.1,0,none,1,11
0xc72ab0a501facd1c9b13b2311d2fe31aeefe7d73,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,78672.5,148337.37,"2025-11-04 16:11:56.151826",27.9,2700.9,1,THIN_SAMPLE_ARTIFACT,1,9
0xe62ba7565e0c36ffe2284e8c78446f4b0088bdf9,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,301768.49,147582.76,"2025-11-14 19:39:50.634914",17.7,2036.7,0,none,1,8
0x8a30be85b881dd97f311f9fc8786088b0f43cfa4,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,461797.0,127487.4,"2025-11-07 19:05:35.044105",24.7,1733.2,0,none,1,9
0xbde2da7797373ae75750b6f1104ef9309a02645d,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,108035.8,122687.43,"2025-11-06 17:49:50.029184",25.8,2580.6,0,none,1,13
0xdc49b3c14f564b44be3cfc8064d8d8839df9a416,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,151041.82,122204.92,"2025-11-02 20:34:27.312130",29.7,3000.3,0,none,1,16
0x210ebf10578daf7be8fe452614c88f719b6c7e24,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,104368.83,121505.48,"2025-11-06 05:27:42.339777",26.3,3000.6,0,none,1,10
0xa79931b5a22ac2a688c108951e55f4560b842ec6,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,83830.27,116700.66,"2025-11-05 14:45:39.196992",26.9,3000.6,0,none,1,10
0xec166134b463bc390b7d7d6cbeaec9a792f33299,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,109563.5,111896.31,"2025-11-03 14:20:24.614175",28.9,3000.5,0,none,1,15
0x3e97aa961d7ca7909a60191d08fd133b18954d7d,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,80344.13,105525.59,"2025-11-07 03:18:47.321214",25.4,2700.5,1,THIN_SAMPLE_ARTIFACT,1,8
0x2cab308d2f46ae06974bd57ec3b6bbf2e527d93f,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,100129.26,101363.58,"2025-11-03 12:46:23.611334",29.0,2700.4,1,THIN_SAMPLE_ARTIFACT,1,9
0xa563da7cc299e5ad37a6e7158edf9c280ba2d235,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,239763.03,96531.17,"2025-11-05 04:06:36.510275",27.4,2999.5,0,none,1,19
0xaa8c66360ab7c5e77d7c94c593a454acd4b37b58,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,121790.88,83243.03,"2025-11-04 03:03:10.030875",28.4,3000.1,0,none,1,12
0xaa6de4ca77578e995973032c1a4a00459ae84941,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,154440.1,80838.89,"2025-11-08 12:44:29.470034",24.0,2999.9,0,none,1,15
0xa7fbcd9cd6310420f731ab51d982e24128cf994a,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,217907.2,76868.84,"2025-11-08 11:50:36.831240",24.0,2170.1,0,none,1,18
0x941f6e8dcc21e24509457553194aaa0a6036ecf2,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,115268.92,71409.01,"2025-11-04 06:34:36.890303",28.3,3000.1,0,none,1,12
0x5a3d68ed7564808bb103af84139890d131c926c8,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,122503.72,69865.63,"2025-11-08 06:59:39.399364",24.3,2170.4,0,none,1,13
0x0b50698ca0d2730a92199494c82b366eb865df6a,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,84186.24,54216.22,"2025-11-04 07:37:30.297421",28.2,2275.5,0,none,1,7
0x6b55469a3b01eaa0f9619521b716b9aba371f6b7,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,85139.31,51976.83,"2025-11-04 09:16:11.045128",28.2,3000.0,0,none,1,10
0xc7448271dc4d6957b931ff4ff92e71280841a9fe,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,36077.7,51957.96,"2025-11-03 21:41:02.885458",28.6,3000.3,0,none,1,11
0x9c2c6a631aacb213ff193da7eeeba46e8ba21b5a,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,99591.12,50051.27,"2025-11-08 19:14:51.927362",23.7,2700.0,1,THIN_SAMPLE_ARTIFACT,1,9
0x4f7b8f8494e34cad78c9fa41544ac6babebf6f99,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,81236.06,48005.26,"2025-11-05 17:37:04.691563",26.8,2700.0,1,THIN_SAMPLE_ARTIFACT,1,9
0xeba5c273403c53f6ed641b3ed7e4a6b84168e251,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,26968.13,42165.87,"2025-11-08 09:48:57.223700",24.1,3000.3,1,none,1,13
0x306045c0e4e7978ea85a2a754da0a81a076f845f,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,18113.08,39044.72,"2025-11-06 12:08:27.984554",26.0,2700.3,1,THIN_SAMPLE_ARTIFACT,1,6
0xff58322bb085a5c10774de6ef888efd6804c6daa,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,138197.0,29839.6,"2025-11-02 22:32:25.095669",29.6,1361.8,1,none,1,11
0x116618fbce6318fe71552222c3d55cb1a7680c0b,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,49630.06,28518.84,"2025-11-10 05:43:13.718517",22.3,1933.5,1,none,1,8
0x20c53ff21c2173f36adb008217858bbdfb5d71f9,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,14101.34,23597.64,"2025-11-04 15:41:45.072494",27.9,2700.1,1,THIN_SAMPLE_ARTIFACT,1,6
0xa987f8f89be7c12c0a3af9ed0a821397a8b89d38,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,220391.16,23148.25,"2025-11-03 18:19:06.532772",28.8,1913.3,1,none,1,16
0x1ef4472d41f4610be9645101e2b7e3d7b8c46031,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,119661.51,20588.04,"2025-11-12 04:07:12.288963",20.4,2264.7,1,none,1,11
0x6499f9ce33c466cb49995836d1a64c2acdbefca7,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,11031.07,18128.84,"2025-11-09 12:28:40.135352",23.0,2700.1,1,THIN_SAMPLE_ARTIFACT,1,6
0xeb1ac5fb1ae65d3773c6de8fb9b01ddfec9f5f5e,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,10199.12,15773.23,"2025-11-16 01:33:07.860475",16.5,2700.1,1,THIN_SAMPLE_ARTIFACT,1,7
0x33451cb23d35d5ca1c9c1d4f5a9824a2d8145538,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,419701.81,15047.95,"2025-11-02 22:16:07.923463",29.6,1103.2,1,none,1,12
0xfe567561caafaef6e9b69d1a5e5146f66d3089be,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,131306.35,11830.59,"2025-11-06 19:21:34.378606",25.7,2170.0,1,none,1,12
0xee6e47f9be3f0d36b0586d9a53a281e7f119c07e,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,102010.66,8028.47,"2025-11-02 19:49:08.864829",29.7,1976.7,1,none,1,9
0x3ddfc08590c0a58376810956caf2df39733261fb,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,602891.84,7424.89,"2025-11-07 14:29:35.193439",24.9,1537.3,1,none,1,15
0xb7521cc106e0fa5907b1e72f2d2bc9c2c0fbffd7,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,728853.48,6699.39,"2025-11-03 21:01:30.293337",28.7,1072.5,1,none,1,15
0x1e3d4e01540cb04092518c06fae5a99349363f38,0xdf31a15ee2f55b675d44882cbb2053a72b83ad40eef5d60b11762517f695f4ba,"Will Iran recognize Iran by June 2025?",Geopolitics,"2025-12-02 13:02:28.652247",No,64372.87,2200.58,"2025-11-09 00:26:02.053010",23.5,2641.2,1,none,1,9
